invoice_id,company_code,customer_id,customer_group,region,industry,invoice_amount,currency,payment_terms_days,days_since_invoice,dispute_flag,previous_late_payments,open_items_count,credit_score,dunning_level,has_purchase_order,invoice_channel,month,target_paid_late
INV0000052,1000,CUST0026,SMB,Americas,Technology,3355.9,EUR,30,54,0,0,7,651,0,0,EDI,5,1
INV0000053,2000,CUST0071,Enterprise,DACH,Healthcare,12808.63,USD,90,14,0,0,6,717,2,1,EDI,5,0
INV0000054,2000,CUST0049,SMB,DACH,Utilities,2225.7,USD,30,59,0,0,4,649,0,1,Portal,2,0
INV0000055,2000,CUST0153,Mid-Market,Americas,Utilities,2312.36,EUR,30,81,0,1,4,706,1,1,EDI,9,1
INV0000056,2000,CUST0155,SMB,APJ,Healthcare,1740.07,EUR,90,36,0,3,4,758,0,0,Paper,3,0
INV0000057,1100,CUST0001,SMB,DACH,Manufacturing,1281.28,USD,30,89,0,1,7,554,0,1,Email,1,0
INV0000058,1100,CUST0109,SMB,EMEA,Manufacturing,7373.47,EUR,30,11,0,1,5,541,0,1,Email,11,1
INV0000059,1000,CUST0116,Enterprise,APJ,Healthcare,3670.69,USD,45,81,0,3,4,677,0,0,Paper,9,0
INV0000060,1000,CUST0069,SMB,APJ,Technology,4480.77,CHF,30,71,0,1,5,730,0,1,Paper,5,0
INV0000061,2000,CUST0085,Public Sector,APJ,Manufacturing,16128.98,EUR,90,28,0,2,7,702,1,0,EDI,9,1
INV0000062,1100,CUST0143,Enterprise,DACH,Healthcare,17131.68,EUR,30,42,1,1,10,589,0,0,Paper,2,1
INV0000063,1100,CUST0069,Mid-Market,DACH,Utilities,751.04,EUR,60,29,0,2,4,747,1,1,EDI,5,0
INV0000064,2000,CUST0012,SMB,EMEA,Manufacturing,8351.75,EUR,30,75,1,2,4,823,0,1,Email,5,0
INV0000065,2000,CUST0068,Enterprise,DACH,Utilities,5361.13,CHF,60,77,0,2,4,615,0,0,Email,6,0
INV0000066,1100,CUST0046,SMB,APJ,Retail,2605.37,CHF,60,67,0,0,7,626,0,1,EDI,6,0
INV0000067,1100,CUST0069,SMB,DACH,Retail,5967.41,EUR,60,24,0,3,8,682,1,1,Portal,6,1
INV0000068,1000,CUST0042,Enterprise,Americas,Healthcare,690.42,CHF,60,27,0,3,7,671,0,1,Portal,5,0
INV0000069,1000,CUST0027,Mid-Market,APJ,Retail,19648.86,EUR,45,98,0,0,6,770,0,1,Portal,5,0
INV0000070,1100,CUST0178,SMB,APJ,Manufacturing,7264.04,CHF,30,56,0,4,3,701,0,1,Email,1,0
INV0000071,1000,CUST0024,Mid-Market,Americas,Utilities,1705.38,GBP,14,53,0,4,5,658,0,0,EDI,1,1
INV0000072,1100,CUST0128,SMB,APJ,Retail,2287.74,EUR,30,37,0,0,2,636,0,1,Portal,5,0
INV0000073,3000,CUST0130,Enterprise,DACH,Manufacturing,707.47,USD,30,112,0,4,4,565,0,1,Email,9,0
INV0000074,1000,CUST0112,Mid-Market,EMEA,Healthcare,3042.23,USD,30,29,0,5,6,783,1,1,EDI,11,1
INV0000075,1000,CUST0165,SMB,DACH,Retail,2548.17,EUR,45,93,0,2,4,727,0,1,Email,11,0
INV0000076,1000,CUST0001,Enterprise,APJ,Healthcare,1052.2,EUR,45,93,0,2,8,673,0,0,Portal,4,1
INV0000077,1000,CUST0055,SMB,APJ,Manufacturing,9561.86,USD,90,30,0,0,8,688,1,1,Email,7,0
INV0000078,2000,CUST0034,Enterprise,DACH,Technology,16165.54,EUR,30,2,0,3,4,672,0,1,Paper,5,0
INV0000079,1100,CUST0104,Mid-Market,DACH,Technology,4110.38,EUR,60,30,0,2,6,548,0,1,Email,1,0
INV0000080,2000,CUST0115,Enterprise,EMEA,Utilities,3068.89,EUR,45,33,0,2,8,573,1,0,Portal,9,1
INV0000081,2000,CUST0162,SMB,DACH,Technology,6679.07,USD,90,90,0,2,3,665,0,1,Portal,1,0
INV0000082,1100,CUST0069,SMB,Americas,Utilities,4143.84,EUR,60,64,0,0,6,663,1,0,Portal,2,1
INV0000083,2000,CUST0043,SMB,DACH,Retail,1357.92,EUR,30,52,0,0,6,679,1,1,Email,11,0
INV0000084,1000,CUST0167,Public Sector,Americas,Technology,2131.73,EUR,14,58,0,5,2,807,2,0,EDI,11,0
INV0000085,1000,CUST0122,SMB,EMEA,Utilities,3098.71,EUR,90,115,0,2,3,659,0,1,EDI,8,0
INV0000086,1000,CUST0138,SMB,EMEA,Manufacturing,5489.52,USD,45,113,0,2,3,623,1,0,Portal,7,0
INV0000087,2000,CUST0081,Mid-Market,DACH,Utilities,4271.86,EUR,60,4,0,3,8,684,0,0,EDI,9,0
INV0000088,1100,CUST0081,Public Sector,APJ,Healthcare,5275.81,USD,60,102,0,2,5,575,1,1,Email,7,1
INV0000089,1000,CUST0071,SMB,Americas,Healthcare,853.15,EUR,45,44,0,4,3,692,0,1,EDI,9,0
INV0000090,1100,CUST0135,SMB,EMEA,Retail,8505.59,USD,60,91,0,3,8,626,0,0,Portal,2,1
INV0000091,1000,CUST0038,Enterprise,EMEA,Utilities,4245.38,EUR,60,119,0,0,4,697,0,1,EDI,12,0
INV0000092,2000,CUST0176,Mid-Market,APJ,Utilities,61718.84,GBP,60,62,0,1,5,666,0,1,Portal,1,1
INV0000093,1100,CUST0032,SMB,Americas,Retail,2815.75,EUR,30,75,0,2,5,669,0,1,EDI,9,0
INV0000094,1100,CUST0083,Enterprise,Americas,Technology,5940.99,GBP,14,52,0,3,2,727,2,1,Portal,11,1
INV0000095,1000,CUST0057,Enterprise,Americas,Manufacturing,82510.44,EUR,14,9,0,4,4,735,1,1,Email,1,0
INV0000096,2000,CUST0116,Public Sector,APJ,Retail,5186.41,EUR,30,5,0,1,6,832,1,1,Email,3,0
INV0000097,1000,CUST0123,Mid-Market,DACH,Manufacturing,3940.2,USD,60,44,0,2,6,732,1,1,EDI,4,1
INV0000098,1000,CUST0166,Enterprise,Americas,Technology,1500.77,EUR,60,99,0,2,5,662,0,0,Portal,6,1
INV0000099,1000,CUST0143,Mid-Market,EMEA,Technology,21050.5,EUR,30,41,0,4,6,633,0,1,Portal,3,0
INV0000100,3000,CUST0045,Mid-Market,Americas,Technology,1252.56,USD,30,52,0,2,7,706,1,1,Email,7,0
INV0000101,3000,CUST0038,SMB,APJ,Healthcare,6624.15,USD,30,64,0,2,7,790,1,1,Email,12,0
INV0000102,2000,CUST0160,Public Sector,APJ,Utilities,2572.84,USD,60,39,0,5,1,744,1,1,Email,1,1
INV0000103,1000,CUST0088,Public Sector,EMEA,Manufacturing,3467.53,CHF,45,59,0,3,9,627,0,1,Email,11,1
INV0000104,3000,CUST0018,SMB,EMEA,Retail,948.49,EUR,30,73,0,2,4,714,0,1,Portal,9,0
INV0000105,2000,CUST0149,SMB,APJ,Retail,17331.55,EUR,30,103,0,2,4,697,1,0,Email,6,0
INV0000106,2000,CUST0117,Mid-Market,APJ,Utilities,3159.95,USD,45,91,1,1,6,759,0,1,Portal,7,0
INV0000107,1100,CUST0005,SMB,Americas,Manufacturing,1181.05,EUR,30,99,0,1,6,703,0,1,EDI,2,0
INV0000108,1000,CUST0141,Enterprise,DACH,Manufacturing,15761.49,EUR,60,63,0,5,3,700,0,1,Portal,11,1
INV0000109,1000,CUST0110,Enterprise,EMEA,Manufacturing,2491.54,EUR,60,84,0,0,5,591,0,0,Portal,1,0
INV0000110,3000,CUST0111,Public Sector,APJ,Healthcare,6010.95,EUR,30,18,0,1,5,739,1,1,Email,2,0
INV0000111,1100,CUST0156,SMB,Americas,Technology,10234.17,EUR,30,18,0,2,6,576,0,0,Email,9,1
INV0000112,1000,CUST0090,Mid-Market,Americas,Utilities,6958.62,EUR,30,111,0,3,6,687,1,1,Email,3,0
INV0000113,1000,CUST0084,SMB,Americas,Retail,421.38,USD,30,73,0,0,4,639,1,0,Email,1,0
INV0000114,1100,CUST0112,Mid-Market,EMEA,Retail,8779.06,USD,30,14,0,1,4,634,0,1,Portal,4,0
INV0000115,1000,CUST0036,Mid-Market,EMEA,Technology,3806.08,CHF,14,49,0,0,2,724,1,1,EDI,7,0
INV0000116,3000,CUST0028,Mid-Market,Americas,Manufacturing,2994.46,EUR,14,117,0,1,3,680,0,1,EDI,4,0
INV0000117,2000,CUST0152,Enterprise,DACH,Utilities,3772.42,EUR,60,3,0,0,2,500,0,1,EDI,11,0
INV0000118,2000,CUST0039,Mid-Market,Americas,Utilities,780.13,USD,30,54,1,3,7,665,0,1,EDI,12,0
INV0000119,1100,CUST0091,Mid-Market,Americas,Manufacturing,5175.96,EUR,60,101,0,3,3,651,1,0,Email,6,0
INV0000120,2000,CUST0049,Mid-Market,Americas,Utilities,1009.68,EUR,30,114,0,2,6,774,0,1,Email,7,0
INV0000121,1100,CUST0042,Enterprise,DACH,Technology,3133.38,USD,30,45,0,0,6,587,0,1,Portal,8,0
INV0000122,2000,CUST0108,Public Sector,Americas,Retail,4984.45,USD,30,110,0,2,6,824,2,1,EDI,4,0
INV0000123,1000,CUST0145,SMB,DACH,Utilities,13065.61,EUR,14,86,0,1,8,744,2,1,Email,6,0
INV0000124,1100,CUST0080,SMB,DACH,Technology,1788.99,USD,30,49,1,1,6,659,2,1,Email,3,0
INV0000125,1000,CUST0025,Enterprise,EMEA,Retail,19422.1,USD,60,94,0,3,4,649,0,1,EDI,12,0
INV0000126,1100,CUST0045,SMB,DACH,Utilities,11432.28,GBP,60,97,0,3,5,632,1,1,EDI,7,1
INV0000127,1000,CUST0030,SMB,APJ,Healthcare,2694.91,EUR,14,34,0,0,6,704,1,1,Email,6,0
INV0000128,1000,CUST0159,Mid-Market,APJ,Manufacturing,1320.56,USD,14,11,0,3,4,621,0,1,EDI,3,0
INV0000129,1000,CUST0058,Enterprise,DACH,Healthcare,928.89,USD,30,94,0,4,4,671,0,1,Portal,2,0
INV0000130,1100,CUST0068,Mid-Market,Americas,Healthcare,5627.06,EUR,60,10,1,2,4,599,0,1,Paper,1,1
INV0000131,1000,CUST0013,Mid-Market,EMEA,Retail,1950.52,USD,30,94,0,1,4,733,1,1,EDI,4,0
INV0000132,3000,CUST0081,Mid-Market,Americas,Technology,14903.1,USD,30,43,0,0,5,693,1,1,EDI,8,0
INV0000133,1100,CUST0165,Mid-Market,APJ,Utilities,2072.48,EUR,60,85,0,6,6,645,0,1,Portal,12,1
INV0000134,1000,CUST0074,Mid-Market,EMEA,Manufacturing,1643.03,EUR,60,74,0,2,6,662,0,0,EDI,9,1
INV0000135,1100,CUST0118,SMB,DACH,Healthcare,5406.23,EUR,45,5,0,4,4,628,1,1,Email,2,0
INV0000136,1000,CUST0033,Enterprise,DACH,Utilities,2058.33,USD,30,2,0,4,3,703,1,1,EDI,1,0
INV0000137,3000,CUST0026,Mid-Market,EMEA,Utilities,4268.33,EUR,30,76,0,0,8,586,2,0,EDI,7,1
INV0000138,1100,CUST0132,SMB,APJ,Retail,11911.85,EUR,30,62,0,1,6,748,0,1,Portal,7,0
INV0000139,2000,CUST0012,Enterprise,EMEA,Retail,4784.28,EUR,45,6,0,1,5,693,3,1,Email,1,0
INV0000140,1000,CUST0081,Enterprise,EMEA,Utilities,4803.08,USD,60,118,0,2,3,646,0,1,Portal,7,0
INV0000141,1100,CUST0058,Enterprise,DACH,Technology,5246.96,USD,30,29,0,2,4,724,0,1,EDI,2,0
INV0000142,1100,CUST0003,Enterprise,APJ,Technology,714.97,EUR,60,104,0,2,7,709,2,1,Portal,8,0
INV0000143,3000,CUST0096,Mid-Market,EMEA,Technology,6383.23,EUR,30,15,1,3,8,602,0,1,EDI,12,1
INV0000144,1100,CUST0174,Enterprise,Americas,Technology,5003.68,EUR,60,28,0,3,6,778,0,1,EDI,1,0
INV0000145,1100,CUST0013,Mid-Market,Americas,Healthcare,10802.6,EUR,14,64,0,2,5,493,0,1,Portal,4,0
INV0000146,1000,CUST0147,Public Sector,DACH,Technology,7991.24,USD,30,64,1,1,4,762,1,1,Email,10,1
INV0000147,1000,CUST0098,Public Sector,DACH,Retail,3421.91,EUR,14,73,0,0,8,668,0,1,Email,9,0
INV0000148,1100,CUST0131,Enterprise,EMEA,Technology,12506.61,USD,45,21,0,1,9,754,0,1,Email,7,0
INV0000149,1100,CUST0018,Mid-Market,DACH,Healthcare,3111.12,USD,14,32,0,2,9,788,0,1,Email,12,0
INV0000150,1000,CUST0157,Mid-Market,Americas,Utilities,5483.59,GBP,30,32,0,1,7,648,2,1,Portal,5,0
INV0000151,2000,CUST0003,SMB,Americas,Technology,3051.21,EUR,60,53,0,2,6,651,2,1,Paper,8,1
INV0000152,3000,CUST0164,SMB,DACH,Healthcare,6869.49,EUR,45,111,0,2,8,704,1,0,Email,6,0
INV0000153,1000,CUST0119,Enterprise,EMEA,Technology,2848.89,EUR,45,56,1,1,2,595,2,1,Email,12,0
INV0000154,1100,CUST0061,Enterprise,DACH,Healthcare,23859.3,GBP,45,120,0,2,4,655,1,1,EDI,6,0
INV0000155,1000,CUST0002,Mid-Market,DACH,Retail,35179.92,USD,45,31,0,3,3,649,0,0,Email,2,1
INV0000156,2000,CUST0110,SMB,Americas,Technology,10589.68,USD,45,30,0,1,5,591,0,0,Email,11,0
INV0000157,1000,CUST0016,SMB,Americas,Manufacturing,21340.49,USD,30,13,0,3,5,645,1,0,Portal,5,1
INV0000158,2000,CUST0110,Enterprise,Americas,Retail,840.36,EUR,14,26,0,2,3,736,0,1,Portal,9,0
INV0000159,2000,CUST0140,SMB,DACH,Healthcare,951.04,USD,30,38,0,1,2,731,0,1,Portal,5,0
INV0000160,2000,CUST0049,Enterprise,EMEA,Manufacturing,3018.04,USD,14,47,0,1,5,667,0,0,Email,4,0
INV0000161,1000,CUST0043,SMB,EMEA,Retail,4417.34,EUR,30,86,1,3,5,685,3,1,Paper,3,1
INV0000162,3000,CUST0040,Public Sector,APJ,Healthcare,3435.38,CHF,30,54,0,2,7,657,0,1,Portal,1,0
INV0000163,1000,CUST0041,Mid-Market,Americas,Utilities,754.28,GBP,30,83,1,1,6,548,0,1,EDI,2,0
INV0000164,1000,CUST0021,Enterprise,APJ,Technology,14174.1,CHF,60,11,0,2,3,604,1,1,EDI,5,1
INV0000165,1100,CUST0045,SMB,DACH,Technology,40615.63,USD,45,114,0,2,3,752,1,1,Email,10,1
INV0000166,1000,CUST0119,Mid-Market,EMEA,Technology,16236.82,EUR,45,18,0,3,3,770,0,1,EDI,3,0
INV0000167,2000,CUST0055,SMB,Americas,Healthcare,13224.14,USD,60,5,0,1,8,616,1,1,Email,9,0
INV0000168,2000,CUST0141,Mid-Market,EMEA,Technology,5363.79,EUR,30,51,0,0,6,764,0,1,EDI,8,0
INV0000169,1000,CUST0148,SMB,Americas,Manufacturing,1745.6,USD,30,79,0,1,7,590,0,0,EDI,9,0
INV0000170,3000,CUST0137,Mid-Market,EMEA,Technology,4564.91,EUR,30,29,0,1,6,641,1,1,EDI,8,0
INV0000171,1000,CUST0098,Enterprise,APJ,Retail,38594.59,GBP,30,20,0,2,2,671,2,0,EDI,11,1
INV0000172,1100,CUST0057,Mid-Market,DACH,Healthcare,2923.14,EUR,30,102,0,1,6,660,1,1,Paper,4,1
INV0000173,1000,CUST0168,Enterprise,APJ,Manufacturing,2623.58,EUR,60,99,0,1,4,628,0,0,EDI,9,1
INV0000174,3000,CUST0037,Mid-Market,EMEA,Healthcare,13530.06,EUR,30,91,0,4,6,690,0,0,Email,11,0
INV0000175,1000,CUST0084,SMB,EMEA,Manufacturing,14506.76,USD,30,27,0,2,4,738,0,1,Email,8,0
INV0000176,1000,CUST0082,Enterprise,EMEA,Utilities,1736.63,EUR,30,65,0,0,3,571,0,1,Email,12,0
INV0000177,1100,CUST0135,Enterprise,DACH,Healthcare,3214.55,EUR,30,83,0,0,3,689,0,1,Paper,10,0
INV0000178,3000,CUST0099,Enterprise,APJ,Manufacturing,2497.38,EUR,45,52,0,2,5,752,0,1,EDI,6,0
INV0000179,3000,CUST0144,Enterprise,APJ,Utilities,4551.33,EUR,45,22,0,2,7,649,0,1,Email,10,1
INV0000180,2000,CUST0166,SMB,APJ,Technology,13478.77,CHF,60,100,1,1,7,639,0,1,Portal,6,0
INV0000181,3000,CUST0071,Public Sector,APJ,Healthcare,1818.51,EUR,45,113,0,1,8,616,0,0,Email,11,0
INV0000182,3000,CUST0158,Enterprise,Americas,Manufacturing,13281.77,EUR,30,20,0,3,5,830,0,1,Email,1,0
INV0000183,1100,CUST0031,SMB,EMEA,Manufacturing,4706.66,EUR,30,85,0,2,4,792,0,1,Email,12,0
INV0000184,1000,CUST0165,SMB,APJ,Utilities,48654.61,EUR,45,107,0,3,3,658,0,0,Portal,11,0
INV0000185,2000,CUST0033,Public Sector,DACH,Technology,5912.19,EUR,30,65,0,3,8,769,0,1,Email,4,0
INV0000186,2000,CUST0154,Mid-Market,Americas,Healthcare,3820.88,EUR,30,6,1,1,6,641,0,0,Email,2,0
INV0000187,1000,CUST0071,Mid-Market,EMEA,Utilities,7734.53,EUR,30,83,0,0,5,668,0,1,EDI,7,1
INV0000188,1000,CUST0174,Mid-Market,Americas,Technology,2969.05,EUR,45,111,0,1,8,601,0,1,EDI,8,1
INV0000189,2000,CUST0024,SMB,EMEA,Retail,642.24,EUR,14,32,0,4,6,542,1,1,EDI,5,0
INV0000190,1000,CUST0084,SMB,EMEA,Utilities,3286.09,USD,90,17,0,1,6,636,0,1,Email,8,1
INV0000191,3000,CUST0163,Mid-Market,DACH,Manufacturing,3232.11,EUR,30,31,0,2,3,648,1,1,Portal,7,0
INV0000192,1000,CUST0009,Enterprise,EMEA,Technology,794.78,USD,30,98,0,0,6,712,1,1,EDI,5,0
INV0000193,1000,CUST0048,SMB,EMEA,Utilities,3917.91,USD,30,67,0,0,3,729,0,1,Email,6,0
INV0000194,2000,CUST0016,SMB,DACH,Retail,482.77,GBP,30,3,0,1,4,671,0,0,EDI,2,0
INV0000195,1000,CUST0058,Mid-Market,DACH,Retail,2936.37,EUR,30,71,0,1,9,606,0,1,Email,7,0
INV0000196,1000,CUST0071,SMB,EMEA,Technology,5463.12,USD,45,98,0,0,6,631,0,1,Email,8,0
INV0000197,1100,CUST0112,Mid-Market,DACH,Manufacturing,4683.71,GBP,30,23,0,2,6,799,0,1,Portal,12,0
INV0000198,3000,CUST0047,Mid-Market,Americas,Manufacturing,2747.31,CHF,30,71,0,1,6,727,0,1,EDI,5,1
INV0000199,1000,CUST0029,Mid-Market,DACH,Retail,3866.84,USD,30,28,0,3,6,787,0,1,Portal,2,0
INV0000200,1000,CUST0031,SMB,EMEA,Utilities,1857.03,EUR,30,3,0,1,4,813,0,1,Portal,2,0
INV0000201,2000,CUST0169,Public Sector,DACH,Retail,4278.5,CHF,60,49,1,0,3,631,0,0,EDI,11,0
INV0000202,3000,CUST0172,Mid-Market,EMEA,Healthcare,4496.21,USD,30,93,0,2,5,742,2,1,Portal,11,1
INV0000203,1100,CUST0040,Mid-Market,EMEA,Technology,1643.75,EUR,60,81,0,7,6,612,0,1,EDI,10,1
INV0000204,1000,CUST0036,Mid-Market,Americas,Healthcare,5603.15,EUR,30,13,0,4,8,757,0,1,Paper,6,0
INV0000205,1000,CUST0010,Enterprise,EMEA,Retail,5566.52,CHF,30,23,0,3,5,742,1,1,Portal,12,0
INV0000206,1000,CUST0173,Mid-Market,EMEA,Utilities,3552.76,EUR,60,65,0,1,6,521,1,0,EDI,9,1
INV0000207,1000,CUST0128,Enterprise,DACH,Retail,53750.02,USD,14,39,0,2,8,710,0,1,Portal,3,0
INV0000208,2000,CUST0137,Mid-Market,EMEA,Healthcare,3649.2,EUR,60,40,0,0,4,616,0,1,Portal,4,0
INV0000209,1000,CUST0053,Enterprise,EMEA,Utilities,3155.19,USD,30,53,0,1,5,654,0,1,EDI,12,0
INV0000210,1100,CUST0116,Mid-Market,Americas,Technology,2714.84,EUR,30,92,1,2,5,631,3,1,EDI,2,1
INV0000211,2000,CUST0011,SMB,EMEA,Healthcare,1526.17,USD,60,70,0,2,6,748,1,0,EDI,9,0
INV0000212,1100,CUST0122,Enterprise,Americas,Manufacturing,8692.29,EUR,30,103,0,3,4,629,0,1,Portal,1,1
INV0000213,1000,CUST0105,SMB,EMEA,Technology,2057.9,GBP,90,13,0,3,3,584,1,1,EDI,9,0
INV0000214,2000,CUST0060,Public Sector,DACH,Retail,2330.07,EUR,60,56,0,1,6,619,0,1,EDI,5,0
INV0000215,2000,CUST0128,Mid-Market,DACH,Utilities,2403.9,EUR,30,67,1,2,3,664,0,0,Email,1,0
INV0000216,2000,CUST0117,Enterprise,DACH,Utilities,1503.89,EUR,30,91,0,4,6,711,0,1,EDI,1,0
INV0000217,1000,CUST0080,Mid-Market,EMEA,Healthcare,672.74,EUR,60,62,0,3,6,770,1,1,EDI,3,0
INV0000218,1000,CUST0034,SMB,Americas,Utilities,2601.68,CHF,30,110,0,5,6,719,3,1,Portal,12,0
INV0000219,3000,CUST0005,Mid-Market,Americas,Utilities,10582.98,EUR,45,101,0,1,5,724,0,1,Email,12,0
INV0000220,1100,CUST0169,Enterprise,EMEA,Healthcare,5202.16,EUR,30,83,0,1,6,735,1,1,Portal,3,1
